ibge7,ibge6,municipio,uf,regiao,ano_populacao,populacao,ubs,hospitais,centros_cirurgicos,centros_obstetricos,ubs_por_10k,hospitais_por_100k,centros_cirurgicos_por_100k,centros_obstetricos_por_100k,indice_lacuna,prioridade_exploratoria
3541703,354170,Quatá,SP,Sudeste,2025,13412,5,0,0,0,3.73,0.0,0.0,0.0,71.41,Alta
3541802,354180,Queiroz,SP,Sudeste,2025,3366,2,0,0,0,5.94,0.0,0.0,0.0,46.73,Moderada
3541901,354190,Queluz,SP,Sudeste,2025,9074,4,0,0,0,4.41,0.0,0.0,0.0,62.88,Alta
3542008,354200,Quintana,SP,Sudeste,2025,7260,4,0,0,0,5.51,0.0,0.0,0.0,50.43,Alta
3542107,354210,Rafard,SP,Sudeste,2025,9145,3,0,0,0,3.28,0.0,0.0,0.0,77.2,Muito alta
3542206,354220,Rancharia,SP,Sudeste,2025,29387,13,0,0,0,4.42,0.0,0.0,0.0,62.66,Alta
3542305,354230,Redenção da Serra,SP,Sudeste,2025,4637,2,0,0,0,4.31,0.0,0.0,0.0,64.17,Alta
3542404,354240,Regente Feijó,SP,Sudeste,2025,20620,11,0,0,0,5.33,0.0,0.0,0.0,52.11,Alta
3542503,354250,Reginópolis,SP,Sudeste,2025,7820,4,0,0,0,5.12,0.0,0.0,0.0,54.34,Alta
3542602,354260,Registro,SP,Sudeste,2025,61927,20,2,2,1,3.23,3.23,3.23,1.61,56.91,Alta
3542701,354270,Restinga,SP,Sudeste,2025,6486,3,0,0,0,4.63,0.0,0.0,0.0,60.17,Alta
